Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,7,115,4,Some Random Commen with Id 0
1,0,7,60,2,Some Random Commen with Id 1
2,0,7,4,9,Some Random Commen with Id 2
3,0,7,26,3,Some Random Commen with Id 3
4,0,7,51,7,Some Random Commen with Id 4
5,0,7,105,5,Some Random Commen with Id 5
6,0,7,95,5,Some Random Commen with Id 6
7,1,7,58,5,Some Random Commen with Id 7
8,1,7,55,1,Some Random Commen with Id 8
9,2,6,128,8,Some Random Commen with Id 9
10,2,6,111,1,Some Random Commen with Id 10
11,2,6,116,5,Some Random Commen with Id 11
12,2,6,0,1,Some Random Commen with Id 12
13,2,6,136,5,Some Random Commen with Id 13
14,2,6,126,8,Some Random Commen with Id 14
15,2,6,25,4,Some Random Commen with Id 15
16,2,6,130,3,Some Random Commen with Id 16
17,3,7,162,5,Some Random Commen with Id 17
18,3,7,176,3,Some Random Commen with Id 18
19,3,7,70,8,Some Random Commen with Id 19
20,3,7,99,6,Some Random Commen with Id 20
21,4,3,126,3,Some Random Commen with Id 21
22,4,3,139,3,Some Random Commen with Id 22
23,4,3,70,3,Some Random Commen with Id 23
24,5,3,66,3,Some Random Commen with Id 24
25,6,6,7,8,Some Random Commen with Id 25
26,6,6,19,9,Some Random Commen with Id 26
27,6,6,148,2,Some Random Commen with Id 27
28,6,6,110,5,Some Random Commen with Id 28
29,6,6,120,0,Some Random Commen with Id 29
30,7,0,62,8,Some Random Commen with Id 30
31,7,0,172,4,Some Random Commen with Id 31
32,7,0,74,5,Some Random Commen with Id 32
33,7,0,4,2,Some Random Commen with Id 33
34,7,0,126,0,Some Random Commen with Id 34
35,7,0,115,6,Some Random Commen with Id 35
36,7,0,30,4,Some Random Commen with Id 36
37,8,7,186,1,Some Random Commen with Id 37
38,8,7,149,6,Some Random Commen with Id 38
39,8,7,193,8,Some Random Commen with Id 39
40,9,5,81,0,Some Random Commen with Id 40
41,9,5,108,5,Some Random Commen with Id 41
42,9,5,37,1,Some Random Commen with Id 42
43,9,5,83,8,Some Random Commen with Id 43
44,9,5,112,6,Some Random Commen with Id 44
45,9,5,197,3,Some Random Commen with Id 45
46,10,0,94,4,Some Random Commen with Id 46
47,10,0,90,7,Some Random Commen with Id 47
48,10,0,184,3,Some Random Commen with Id 48
49,10,0,90,8,Some Random Commen with Id 49
50,10,0,164,1,Some Random Commen with Id 50
51,10,0,199,1,Some Random Commen with Id 51
52,11,7,160,2,Some Random Commen with Id 52
53,11,7,104,4,Some Random Commen with Id 53
54,11,7,197,7,Some Random Commen with Id 54
55,11,7,151,6,Some Random Commen with Id 55
56,11,7,153,9,Some Random Commen with Id 56
57,11,7,189,3,Some Random Commen with Id 57
58,12,5,181,5,Some Random Commen with Id 58
59,12,5,122,6,Some Random Commen with Id 59
60,12,5,75,4,Some Random Commen with Id 60
61,12,5,119,4,Some Random Commen with Id 61
62,12,5,68,6,Some Random Commen with Id 62
63,12,5,159,4,Some Random Commen with Id 63
64,14,1,173,6,Some Random Commen with Id 64
65,14,1,161,2,Some Random Commen with Id 65
66,14,1,80,4,Some Random Commen with Id 66
67,14,1,12,7,Some Random Commen with Id 67
68,15,7,25,5,Some Random Commen with Id 68
69,16,4,110,2,Some Random Commen with Id 69
70,17,3,114,6,Some Random Commen with Id 70
71,18,6,185,5,Some Random Commen with Id 71
72,19,3,162,3,Some Random Commen with Id 72
73,19,3,174,4,Some Random Commen with Id 73
74,19,3,89,1,Some Random Commen with Id 74
75,19,3,83,8,Some Random Commen with Id 75
76,19,3,73,1,Some Random Commen with Id 76
77,20,0,97,8,Some Random Commen with Id 77
78,20,0,88,2,Some Random Commen with Id 78
79,20,0,151,7,Some Random Commen with Id 79
80,20,0,24,2,Some Random Commen with Id 80
81,20,0,67,0,Some Random Commen with Id 81
82,20,0,168,3,Some Random Commen with Id 82
83,21,0,151,6,Some Random Commen with Id 83
84,21,0,50,4,Some Random Commen with Id 84
85,21,0,123,7,Some Random Commen with Id 85
86,21,0,109,8,Some Random Commen with Id 86
87,21,0,143,5,Some Random Commen with Id 87
88,21,0,151,2,Some Random Commen with Id 88
89,21,0,137,6,Some Random Commen with Id 89
90,21,0,106,1,Some Random Commen with Id 90
91,21,0,57,5,Some Random Commen with Id 91
92,22,7,101,1,Some Random Commen with Id 92
93,22,7,81,4,Some Random Commen with Id 93
94,22,7,57,2,Some Random Commen with Id 94
95,22,7,75,8,Some Random Commen with Id 95
96,22,7,140,3,Some Random Commen with Id 96
97,23,6,191,5,Some Random Commen with Id 97
98,23,6,89,1,Some Random Commen with Id 98
99,23,6,150,8,Some Random Commen with Id 99
100,24,6,73,6,Some Random Commen with Id 100
101,24,6,74,5,Some Random Commen with Id 101
102,24,6,28,8,Some Random Commen with Id 102
103,25,5,97,2,Some Random Commen with Id 103
104,25,5,167,2,Some Random Commen with Id 104
105,25,5,144,2,Some Random Commen with Id 105
106,25,5,185,3,Some Random Commen with Id 106
107,25,5,37,4,Some Random Commen with Id 107
108,25,5,178,2,Some Random Commen with Id 108
109,26,9,145,1,Some Random Commen with Id 109
110,26,9,17,7,Some Random Commen with Id 110
111,27,2,193,8,Some Random Commen with Id 111
112,27,2,135,3,Some Random Commen with Id 112
113,27,2,70,6,Some Random Commen with Id 113
114,27,2,55,5,Some Random Commen with Id 114
115,27,2,143,8,Some Random Commen with Id 115
116,27,2,99,5,Some Random Commen with Id 116
117,27,2,79,1,Some Random Commen with Id 117
118,29,0,61,6,Some Random Commen with Id 118
119,29,0,30,2,Some Random Commen with Id 119
